Output,Input,Call,mNemonic,Location,Service Area,Latitude,Longitude,S,ERP,HASL,T/O,Sp,Tone,Notes
146.8000,146.2000,VK2RSC,Lismor,Parrots Nest,Lismore,-28.857063,153.228511,O,15,185,3,2SRC,123,
146.8000,146.2000,VK2RTD,Kendal,Mt Kendall,Tumut area,-35.495522,148.009957,O,25,933,3,2WG,91.5,25
146.8250,146.2250,VK2RGA,Galore,Mt Galore,Lockhart,-35.108227,146.790662,O,25,387,3,2WG,91.5,25
146.8250,146.2250,VK2RHR,HRange,High Range,Southern Highlands,-34.370997,150.335746,O,50,862,3,2JQ,-,
146.8250,146.2250,VK2RWP,WolumP,Wolumla Peak,Bega-Far Sth Coast 6/15,-36.864455,149.728115,T,50,770,3.5,2CRN,-,
146.8500,146.2500,VK2RCH,Bruxnr,Mt Coramba,Coffs Harbour,-30.219255,153.053358,O,50,600,3,2EP,123,24
146.8500,146.2500,VK2RGF,SqrNob,Mt Square Knob,Leeton - Griffith,-34.551752,146.610155,O,25,386,3,2WG,91.5,25
146.8500,146.2500,VK2RMO,Baldwn,Mt Baldwin,Tamworth,-31.045559,150.959429,O,20,820,-,2BTW,-,
146.8500,146.2500,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,-34.263384,150.954594,O,120,465,4,2AMW,-,21
146.8750,146.2750,VK2RMB,THills,Terrey Hills,Sydney,-33.692994,151.222079,O,50,150,3,2MB,-,1
146.8750,146.2750,VK2RMY,YarahP,Mt Yarrahapinni,Kempsey - Macksville,-30.813912,152.91949,O,15,500,3,2EP,-,
146.8750,146.2750,VK2RLJ,Prishr,Back Perisher Mtn,Jindabyne,-36.400004,148.39187,O,10,2010,3,2SNO,-,
146.8750,146.2750,VK2RZL,Muswel,Mt Arthur,Muswellbrook,-32.363013,150.858396,O,10,-,0.5,2ATZ,123,
146.9000,146.3000,VK1RAC,Tidbin,Tidbinbilla,SW ACT 6/15,-35.378932,148.952144,X,10,441,5,1ACA,-,
146.9000,146.3000,VK2RNC,SgarL,Mt Sugarloaf,Lower Hunter,-32.890196,151.538894,O,70,442,5,2AWX,-,
146.9000,146.3000,VK2RRT,Boona,Boona Mtn,Condobolin,-32.656487,147.144526,O,25,441,5,2UBQ,-,
146.9250,146.3250,VK1RJB,Jervis,Jervis Bay,Jervis Bay 3/18,?,?,U,-,-,-,2VVV,-,
146.9250,146.3250,VK2RGR,NRyde,North Ryde,Sydney North,-33.798308,151.126907,O,10,30,2.5,2TVG,-,
146.9250,146.3250,VK2RPW,-,Grundy Mtn,Walcha,-31.326537,151.655979,O,50,1463,3,NWR,-,
146.9500,146.3500,VK1RGI,Ginini,Mt Ginini,ACT - SE NSW,-35.529552,148.772605,O,40,1770,3.5,1ACA,91.5,
146.9500,146.3500,VK2RNE,Rumbee,Mt Rumbee,Glen Innes,-29.951869,151.605269,O,10,1503,4,2AJ,-,
146.9750,146.3750,VK2RNC,SgarL1,Mt Sugarloaf,Lower Hunter,-32.890196,151.538894,O,70,442,10,2AWX,-,26
146.9750,146.3750,VK2RUW,Nites2,Knights Hill,Wollongong 5/17,-34.618243,150.697311,P,50,920,5,2AMW,-,50
147.0000,146.4000,VK2RBH,Darlng,Mt Darling,Broken Hill,-32.022963,141.533162,O,15,400,3,2DPG,-,
147.0000,146.4000,VK2RCN,TelePt,Telegraph Point,Port Macquarie,-31.303962,152.774113,O,50,136,3,2BOR,-,
147.0000,146.4000,VK2RWI,Dural,Dural,Sydney,-33.698742,151.055463,O,120,240,3.5,2WI,-,
147.0250,147.6250,VK2ROT,Paddo,Paddington,Sydney,-33.886561,151.229112,O,20,40,3,2BV,91.5,23
147.0250,147.6250,VK2RSM,Digits,Digits,Adaminaby,-35.985986,148.684447,O,50,1350,3.5,2SNO,-,
147.0500,147.6500,VK2RBM,Lawsn1,Lawson,Blue Mtns,-33.719433,150.431585,O,20,900,3.5,2HZ,123,
147.0750,147.6750,VK2RMW,Wandra,Mt Wandera,Batemans Bay,-35.794735,150.005919,O,25,530,3,2BAY,-,
147.0750,147.6750,VK2RCZ,Lalor,Lalor Park,Sydney West,-33.747338,150.833553,O,20,150,3,2CRZ,123,
147.0750,147.6750,VK2RWR,Moona,Moona Trig,Walcha,-31.039903,151.88983,O,50,1336,3,NWR,-,
147.1000,147.7000,VK2RGL,CbTree,Cabbage Tree Mtn,Forster - Tuncurry,-32.257395,152.120465,O,30,650,5,2GLR,-,
147.1000,147.7000,VK2RSH,SHigh,Southern Highlands,Southern Highlands,-34.408146,150.517692,O,-,-,-,2JQ,-,
147.1000,147.7000,VK2RWM,Warrad,Mt Warraderry,Grenfell 12/17,-33.835834,148.137425,X,100,575,3,2XAQ,-,
147.1250,147.7250,VK1RWP,-,portable,ACT WICEN,-,-,O,20,-,-,1ACA,-,
147.1250,147.7250,VK2RAG,Someb1,Somersby,Gosford WICEN,-33.360078,151.291215,O,50,320,3,2EH,91.5,
147.1250,147.7250,VK2RAV,-,portable,Statewide WICEN,-,-,O,10,-,3,NWN,-,
147.1250,147.7250,VK2RSR,Scadns,Scaddens Ridge,Wyong WICEN,-33.294542,151.366914,O,20,-,-,NWN,-,27
147.1500,147.7500,VK1RWP,-,portable,ACT WICEN,-,-,O,20,-,-,1ACA,-,
147.1500,147.7500,VK2RAV,-,portable,Statewide WICEN,-,-,O,10,-,3,NWN,-,
147.1500,147.7500,VK2RWC,Chats1,Chatswood,Sydney WICEN,-33.798005,151.178974,O,40,140,0.5,NWN,91.5,
147.1500,147.7500,VK2RWH,Nwcsle,Newcastle,Lower Hunter WICEN,-32.917428,151.515456,O,-,-,-,NWN,-,
147.1500,147.7500,VK2RWK,KurraJ,Kurrajong Heights,Blue Mtns WICEN,-33.523583,150.62693,O,-,-,-,NWN,-,
147.1750,147.7750,VK1RBH,BullsH,Bulls Head,ACT WICEN,-35.385788,148.813048,O,50,1385,-,1ACA,-,
147.1750,147.7750,VK1RWP,-,portable,ACT wide WICEN,-,-,O,-,-,-,1ACA,-,
147.1750,147.7750,VK2RAV,-,portable,Statewide WICEN,-,-,O,10,-,3,NWN,-,
147.1750,147.7750,VK2REP,-,portable,Statewide WICEN,-,-,O,-,-,-,NWN,-,
147.1750,147.7750,VK2RFI,-,portable,Hunter region WICEN,-,-,O,-,-,-,NWN,-,
147.1750,147.7750,VK2RWS,-,portable,Statewide WICEN,-,-,O,-,-,-,NWN,-,
147.2000,147.8000,VK2RCW,Lindsy,Mt Lindsay,Orange,-33.27946,149.123207,O,87,950,3,2ACW,-,
147.2000,147.8000,VK2RGL,CbTree,Cabbage Tree Mtn,Forster - Tuncurry,-32.257395,152.120465,O,30,650,5,2GLR,-,
147.2000,147.8000,VK2RWB,GwynH,Gwynne Hill,Yarrawonga WICEN,-35.912473,145.884426,O,80,250,5,NWN,123,19
147.2250,147.8250,VK2RAY,Albury,Hume Weir,Albury,-36.10083,147.035272,O,-,-,-,2EWC,118.8,
147.2250,147.8250,VK2RST,Lewshm,Lewisham,Sydney SSTV 6/15,-33.894531,151.145352,X,25,60,5,2TVG,-,30
147.2250,147.8250,VK2RYL,BaldM,Bald Mtn,Rylstone,-32.690949,150.017541,O,120,983,4,2LE,-,31
147.2500,147.8500,VK2REH,Woodbn,Moonimba,Evans Head,-29.115507,153.443259,O,18,180,3,2SRC,123,
147.2500,147.8500,VK2RNS,Asqith,Asquith,Sydney,-33.689879,151.100677,O,50,225,3.5,2MA,-,32
147.2750,147.8750,VK2RAP,AcacPl,Acacia Plateau,Warwick - Stanthorpe,-28.39188,152.347415,O,40,950,3,4BRC,-,33
147.2750,147.8750,VK2RRR,Razor,Razorback Range,SW Sydney,-34.138944,150.664926,O,-,-,-,2VVV,-,
147.3250,147.9250,VK2RTS,Lawsn2,Lawson,Blue Mtns,-33.710693,150.444899,O,25,-,5,2FKO,-,
147.3750,147.9750,VK2RMM,McKen,Mt MacKenzie,Tenterfield - Granite Belt,-29.086143,151.966348,O,40,1350,3,4BRC,123,33
147.3750,147.9750,VK2RSE,Robts,Mt Roberts,Monaro Snowy Mtns,-35.983587,149.026049,O,100,1482,3,2DIE,-,
,,,,,,,,,,,,,,{{2M;FM;VK3}}
144.9375,145.5375,VK3RDQ,WantE,Outer Eastern Suburbs,Melbourne,-37.881361,145.219101,O,80,68,3,3DQ,91.5,46
146.6500,146.0500,VK3RBT,GreenH,Green Hill,Ballarat,-37.626423,143.901577,O,-,-,-,3BML,91.5,
146.6500,146.0500,VK3REG,MntCan,Mt Cann,East Gippsland,-37.646728,148.978698,O,40,-,2.5,3EGC,-,35
146.6500,146.0500,VK3RGV,Wombat,Mt Wombat,Shepparton 3/18,-36.849308,145.67307,X,80,800,3,3WI,123,18
146.6750,146.0750,VK3RSP,MtMtha,Mt Martha,Mornington Peninsula,-38.354033,144.950608,O,-,-,-,3BSP,-,
146.6750,146.0750,VK3RCA,Roches,Rochester,Echuca 3/18,-36.297996,144.689666,X,40,120,3,3CMZ,-,
146.7000,146.1000,VK3RML,FernyC,Ferny Creek,Melbourne,-37.877796,145.336328,O,100,600,2.5,3RSG,91.5,
146.7000,146.1000,VK3RON,Ouyen,Ouyen,Ouyen,-35.074327,142.310949,O,80,130,3,3RSG,-,56
146.7250,146.1250,VK3RYV,Briart,Briarty Hill,Yarra Valley,-37.730985,145.476243,O,25,421,2.5,3YVG,-,
146.7500,146.1500,VK3RBA,Bunyng,Mt Buninyong,Ballarat,-37.65293,143.926465,O,15,750,3,3WI,91.5,
146.7750,146.1750,VK3RAG,Renies,Rennies Hill,Alexandra,-37.218631,145.705835,O,50,480,2.5,3JFK,123,14
146.8000,146.2000,VK3RLV,Tassie,Mt Tassie,Latrobe Valley,-38.393572,146.55926,O,80,730,2.5,3WI,-,37
146.8000,146.2000,VK3RMA,Mildra,Mildura,Mildura City,-34.189305,142.161413,O,50,50,3,3WI,-,56
146.8250,146.2250,VK3RAJ,Upwey,Upwey,Melbourne E/SE,-37.90393,145.317257,O,50,270,3,3AJ,94.8,104
146.8250,146.2250,VK3RPL,Portld,Portland,Portland,-38.387794,141.631864,O,200,100,3,3AJ,91.5,104
146.8250,146.2250,VK3RYN,-,Yallourn North,Latrobe Valley 8/17,-38.153547,146.406513,T,40,112,3,3AJ,103.5,104
146.8500,146.2500,VK3RDU,Major,Mt Major,Goulburn Valley,-36.36159,145.694467,O,80,377,2.5,3WI,-,
146.8500,146.2500,VK3RMN,KLake,Kinglake,Melbourne,-37.515708,145.316285,O,80,600,3,VWN,91.5,39
146.8500,146.2500,VK3RWM,Arapls,Mt Arapiles,Horsham,-36.752317,141.835941,O,30,-,2.5,3WI,-,
146.8750,146.2750,VK3RGH,GreenH,Green Hill,Macedon R & Melb,-37.186272,144.425745,O,100,600,3,3HF,91.5,
146.9000,146.3000,VK3REB,MntNow,Mt Nowa Nowa,Bairnsdale,-37.692799,148.090901,O,30,354,2.5,3EGC,-,35
146.9250,146.3250,VK3RPW,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
146.9250,146.3250,VK3RWE,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
146.9250,146.3250,VK3RWI,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
146.9250,146.3250,VK3RWR,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
146.9250,146.3250,VK3RWP,-,portable,Statewide WICEN,-,-,O,20,-,-,3WI,-,
146.9500,146.3500,VK3RWZ,Wiliam,Mt William,Grampians,-37.293081,142.601203,O,50,1170,2.5,3WI,91.5,
146.9750,146.3750,VK3RRC,RdlsCk,Riddells Creek,Riddells Creek 8/17,-37.447981,144.66484,P,40,-,-,VSA,91.5,
146.9750,146.3750,VK3RSR,-,portable,Statewide,-,-,O,20,-,-,VSA,-,40
146.9750,146.3750,VK3RWO,-,Bald Hill,West Wodonga,-36.103698,146.790444,O,50,-,-,NEV,123,
147.0000,146.4000,VK3RGL,Anakie,Mt Anakie,Geelong,-37.886427,144.269036,O,45,400,3,3ATL,91.5,
147.0000,146.4000,VK3RNE,BigBen,Mt Big Ben,Wodonga,-36.406294,146.940976,O,30,1158,2.5,3WI,-,36
147.0250,147.6250,VK3RGS,-,Mt Fatigue,Foster 6/15,-38.569862,146.306918,X,60,-,2.5,3WI,123,37
147.0250,147.6250,VK3RMK,Kerang,Mt Kerang,Charlton,-36.312286,143.551248,O,25,385,-,3WI,-,
147.0500,147.6500,VK3RHO,Hotham,Mt Hotham,NE Victoria 3/18,-36.974128,147.139385,X,30,-,2.5,3WI,-,
147.0500,147.6500,VK3RVL,RobinV,Robinvale,Robinvale,-34.587484,142.769895,O,40,-,3,3RSG,-,56
147.0500,147.6500,VK3RWL,Warnum,Mt Warrnambool,Warrnambool,-38.304936,142.737853,O,40,-,0.5,3WI,-,
147.0750,147.6750,VK3RCR,Dande,Mt Dandenong,Melbourne,-37.837476,145.34661,O,100,600,-,3VW,-,
147.1000,147.7000,VK3RPB,Bright,Mt Porepunkah,Bright,-36.657286,146.962299,O,5,-,2.5,3WI,-,36
147.1000,147.7000,VK3RSG,BassH,Bass Hill,South Gippsland,-38.488804,145.550932,O,40,-,3,3WI,-,
147.1000,147.7000,VK3RWA,BenNev,Ben Nevis,Ararat,-37.228424,143.201094,O,30,876,2.5,3WI,91.5,
147.1250,147.7250,VK3RDG,Delegt,Mt Delegate,Delegate,-37.112673,148.897344,O,-,-,-,3WI,-,
147.1250,147.7250,VK3RGC,MoPell,Montpellier,Geelong,-38.157168,144.313919,O,45,160,3,3ATL,91.5,
147.1500,147.7500,VK3RCV,Alex,Mt Alexander,Bendigo,-36.990597,144.308725,O,20,730,3,3WI,-,
147.1500,147.7500,VK3REM,MarHil,Maramingo Hill,Mallacoota WICEN 7/15,-37.410914,149.552615,X,30,388,2.5,3EGC,-,35
147.1750,147.7750,VK3REC,Olind1,Olinda,Melbourne,-37.857864,145.364227,O,40,600,2.5,3ER,-,
147.2000,147.8000,VK3RBQ,Dimbol,Dimboola,Wimmera,-36.452161,142.034844,O,25,160,-,3KAY,-,
147.2000,147.8000,VK3RPS,Cotrel,Mt Cottrell,Melb West EchoL/IRLP,-37.763158,144.621872,O,150,217,3,3HF,91.5,103
147.2250,147.8250,VK3RWG,BawSq,Mt Baw Baw,West Gippsland,-37.838335,146.274831,O,20,1563,2.5,3WI,-,
147.2500,147.8500,VK3RMM,Macdon,Mt Macedon,Melbourne WICEN,-37.383441,144.57678,O,100,1011,2.5,3WI,-,
147.2750,147.8750,VK3RMP,Caveat,Caveat,North Central 8/17,-37.06943,145.500901,P,100,670,3,VSA,91.5,
147.2750,147.8750,VK3ROW,BeechF,Beech Forest,Otway Ranges 6/15,-38.633254,143.563896,X,45,550,3,3ATL,91.5,
147.3000,147.9000,VK3RWE,-,portable,Statewide WICEN,-,-,O,-,-,-,3WI,-,
147.3000,147.9000,VK3RWR,-,portable,Statewide WICEN,-,-,O,-,-,-,3WI,-,
147.3000,147.9000,VK3RWP,-,portable,Statewide WICEN,-,-,O,20,-,-,3WI,-,
147.3250,147.9250,VK3RMC,NarWar,Narre Warren Nth,Melbourne SE,-38.001189,145.328134,O,50,-,-,3APC,-,
147.3500,147.9500,VK3RMS,Olind2,Olinda,Melbourne East,-37.853928,145.36636,O,-,600,-,3WI,-,
147.3750,147.9750,VK3RMU,StLeo,Mt St Leonard,Melbourne,-37.567537,145.52555,O,-,1028,2.5,3WI,91.5,
147.4250,147.4250,VK3RFY,Hillsd,Hillside,Melb West EchoL/IRLP,-37.694622,144.728557,O,100,145,-,3HF,91.5,38,99
,,,,,,,,,,,,,,{{2M;FM;VK4}}
145.6250,145.6250,VK4RKC,-,Ocean View,Brisbane North SSTV,-27.145551,152.820209,O,100,530,-,4KI,-,41
146.6250,146.0250,VK4RCC,-,Ocean View,Brisbane North,-27.145551,152.820209,O,-,-,-,4QD,-,
