Output,Input,Call,mNemonic,Location,Service Area,Latitude,Longitude,S,ERP,HASL,T/O,Sp,Tone,Notes
438.5500,433.3500,VK4RDS B,-,Wilkes Knob,Maleny (G),-26.778175,152.912493,O,25,470,3,4KZK,-,
1273.2000,1293.2000,VK4RDS A,-,Wilkes Knob,Maleny (G),-26.778175,152.912493,O,25,470,3,4KZK,-,
438.3500,432.9500,VK4RDW B,-,Wongawallan,Gold Coast (G),-27.883359,153.259881,O,25,400,-,4BJT,-,96
438.2750,432.8750,VK4RSA B,-,Sarina,Mackay 1/16,-21.497521,149.16955,T,50,460,3,4RM,-,
438.4500,433.4500,VK4RUS B,-,Sarina,Sarina,-21.394248,149.237658,O,50,175,3,4WCH,-,
146.8375,146.2375,VK4RWN C,-,Springbrook,Gold Coast (G) 6/15,-28.234862,153.288859,X,25,1010,3,WIA,-,
438.2250,432.8250,VK4RWN B,-,Springbrook,Gold Coast (G) 6/15,-28.234862,153.288859,X,25,1010,3,WIA,-,79,96
1273.1000,1293.1000,VK4RWN A,-,Springbrook,Gold Coast (G) 6/15,-28.234862,153.288859,X,10,1010,3,WIA,-,
1298.3000,1298.3000,VK4RWN AD,-,Springbrook,Gold Coast (G) 6/15,-28.234862,153.288859,X,10,1010,-,WIA,-,
,,,,,,,,,,,,,,{{*;DSTAR;VK5}}
146.9625,146.3625,VK5REX C,-,Winter Hill,Port Lincoln (G),-34.701651,135.828165,O,25,240,3,5ZEA,-,
438.2250,432.8250,VK5REX B,-,Winter Hill,Port Lincoln (G),-34.701651,135.828165,O,25,240,3,5ZEA,-,96
438.0750,432.6750,VK5RMK B,-,Renmark,Renmark,-34.158556,140.71543,O,-,-,-,5HS,-,
147.0375,147.6375,VK5RWN C,-,Banksia Park,Adelaide (G),-34.813759,138.748772,O,25,420,3,5ARG,-,
438.4000,433.0000,VK5RWN B,-,Banksia Park,Adelaide (G),-34.813759,138.748772,O,25,420,3,5ARG,-,96
1273.7000,1293.7000,VK5RWN A,-,Banksia Park,Adelaide (G) 6/15,-34.813759,138.748772,T,10,420,3,5ARG,-,
1299.7000,1299.7000,VK5RWN AD,-,Banksia Park,Adelaide (G) 6/15,-34.813759,138.748772,X,10,420,-,5ARG,-,
,,,,,,,,,,,,,,{{*;DSTAR;VK6}}
438.9250,433.9250,VK6RAV B,-,Hoddy Well,Avon East 7/17,-31.631042,116.488988,P,-,-,-,WRG,-,
146.8625,145.2625,VK6RLX C,-,Gosnells,Gosnells (G),-32.074446,115.988033,O,50,20,5,6XLR,-,
438.1500,432.7500,VK6RLX B,-,Gosnells,Gosnells (G),-32.074446,115.988033,O,50,20,5,6XLR,-,
438.1250,432.7250,VK6ROX B,-,East Fremantle,Fremantle (G),-32.045352,115.775254,O,10,-,5,6SKY,-,
146.8375,146.2375,VK6RWN C,-,Roleystone,Perth (G),-32.100052,116.05155,O,25,350,3,WRG,-,
438.1750,432.7750,VK6RWN B,-,Roleystone,Perth (G),-32.100052,116.05155,O,25,350,3,WRG,-,79,96
1273.9000,1293.9000,VK6RWN A,-,Roleystone,Perth (G) 6/15,-32.100052,116.05155,X,10,350,3,WRG,-,
1298.3000,1298.3000,VK6RWN AD,-,Roleystone,Perth (G),-32.100052,116.05155,O,10,350,-,WRG,-,
,,,,,,,,,,,,,,{{*;DSTAR;VK7}}
146.9625,146.3625,VK7RCR C,LenahV,Lenah Valley,Hobart,-42.86165,147.277901,O,20,160,2,7ZCR,-,
438.1250,432.7250,VK7RRR B,-,Richmond,SE Tasmania (G),-42.742501,147.421662,O,25,-,3,7RRR,-,96
,,,,,,,,,,,,,,{{*;DSTAR;VK8}}
146.7000,146.1000,VK8RAD C,-,Palmerston,Darwin (G),-12.400018,130.898308,O,25,75,3,8HF,-,
438.7500,433.7500,VK8RAD B,-,Palmerston,Darwin (G),-12.400018,130.898308,O,25,75,3,8HF,-,
1293.4000,1273.4000,VK8RAD A,-,Palmerston,Darwin (G),-12.400018,130.898308,O,10,75,3,8HF,-,108
1274.0500,1274.0500,VK8RAD AD,-,Palmerston,Darwin (G),-12.400018,130.898308,O,10,75,-,8HF,-,
,,,,,,,,,,,,,,{{*;P25;VK2}}
438.1375,432.7375,VK2RHP,-,Horsley Park,Sydney (L),-33.861548,150.854947,O,-,-,-,NME,-,
438.1750,433.1750,VK2RMB,THills,Terrey Hills,Sydney,-33.692994,151.222079,O,5,150,3,2MB,91.5,1
438.2000,432.8000,VK2RCG,-,Sydney,Sydney City,-33.864292,151.211542,O,-,-,-,NME,-,
438.2750,432.8750,VK2RWS,-,Berowra North,Sydney,-33.620876,151.146926,O,-,-,-,NWN,91.5,80
438.3500,432.9500,VK2RHT,Chats,Chatswood,Sydney,-33.79773,151.179197,O,-,140,-,2MA,91.5,32,96
438.4250,433.4250,VK2RLE,HCote,Engadine,Sydney,-34.040329,151.036165,O,50,110,3,2LE,-,
438.4500,433.4500,VK2RCF,-,Carlingford,Sydney,-33.775653,151.052787,O,-,-,-,NME,91.5,
438.5750,433.5750,VK2ROT,Paddo,Paddington,Sydney,-33.886561,151.229112,O,50,90,3,2BV,91.5,23
438.6750,433.6750,VK2RPL,Nardi,Mt Nardi,Lismore,-28.542669,153.290154,O,50,850,3,2SRC,123,
439.6000,434.6000,VK2RRR,Razor,Razorback,SW Sydney,-34.138944,150.664926,O,-,-,-,2VVV,91.5,
439.8250,434.8250,VK2RWK,KurraJ,Kurrajong,NW Sydney,-33.523583,150.62693,O,-,-,-,NWN,91.5,80
439.9500,434.9500,VK2RAG,Someb,Somersby,Central Coast,-33.360078,151.291215,O,-,300,3,2EH,91.5,
,,,,,,,,,,,,,,{{*;P25;VK3}}
438.7250,431.7250,VK3RPL,Portld,Portland,Portland 8/17,-38.387794,141.631864,P,10,100,3,3AJ,293,96
438.7250,431.7250,VK3RYN,-,Yallourn North,Latrobe Valley 8/17,-38.153547,146.406513,P,10,112,3,3AJ,293,96
438.7750,431.7750,VK3RAJ,Upwey,Upwey,Melbourne,-37.90393,145.317257,O,10,270,3,3AJ,293,96
438.8000,431.8000,VK3RSA,-,Emerald,Melbourne 8/17,-37.932578,145.444156,P,10,370,3,VSA,293,96
438.9375,431.9375,VK3RSB,-,Mt St Leonard,Melbourne 8/17,-37.567537,145.52555,P,10,1028,3,VSA,293,96
439.5000,434.5000,VK3RGL,Anakie,Mt Anakie,Geelong,-37.886427,144.269036,O,45,400,3,3ATL,91.5,
439.5750,434.5750,VK3RGC,MoPell,Montpellier,Geelong,-38.157168,144.313919,O,45,160,3,3ATL,91.5,
439.8000,434.8000,VK3RMU,StLeo,Mt St Leonard,Melbourne,-37.567537,145.52555,O,200,1028,2.5,3WI,-,
,,,,,,,,,,,,,,{{*;P25;VK4}}
439.3250,434.3250,VK4RAI,-,The Knobby,Ipswich,-27.502263,152.591633,O,-,-,4,4WIP,91.5,49
146.6375,146.0375,VK4RBX,-,The Knobby,Ipswich 12.5Khz,-27.502263,152.591633,O,25,600,3,4AB,-,20
147.0750,147.6750,VK4RSA,-,Sarina,Mackay 1/16,-21.497521,149.16955,T,50,460,3,4RM,-,
147.2250,145.6250,VK4RTQ,-,Mt Kynoch,Toowoomba,-27.506166,151.955865,O,50,-,-,4JV,-,20
,,,,,,,,,,,,,,{{*;DMR;*}}
438.8125,431.8125,VK1RBM,-,Isaacs Ridge,Canberra Central,-35.364585,149.11875,O,25,800,2,1ACA,-,107
438.1000,433.1000,VK2RRW,-,Dural,Sydney North WICEN,-33.712825,151.028778,O,50,-,5,2MCA,-,107
438.4250,433.4250,VK2RLE,-,Engadine,Sydney,-34.040329,151.036165,O,-,-,-,3TE,-,107
439.5000,434.5000,VK2RCG,-,Sydney,Sydney City,-33.864292,151.211542,O,50,-,5,3TE,-,107
438.1000,432.7000,VK3RSU,-,Melbourne,Melbourne,-37.8916,145.173288,O,50,-,5,3XDE,-,107
438.1500,432.7500,VK3RWW,-,portable,Nation wide,-,-,O,-,-,-,3TE,-,107
438.3000,432.9000,VK3RWW,-,portable,Nation wide,-,-,O,-,-,-,3TE,-,107
438.9125,431.9125,VK3RTE,-,Karingal,Victoria,-38.151469,145.163079,O,-,-,-,3TE,-,107
439.3750,434.3750,VK3RMC,-,Narre Warren Nth,Melbourne SE,-38.001189,145.328134,O,-,-,-,3APC,-,107
439.5000,434.5000,VK3RGL,-,Mt Anakie,Geelong,-37.886427,144.269036,O,-,-,-,3ATL,-,107
439.5250,434.5250,VK3RPT,-,Pretty Sally,Kilmore,-37.38095,144.965576,O,100,515,3,3HF,91.5,103
439.6750,434.6750,VK3RZU,-,Mt Buller,Mansfield,-37.146425,146.43441,O,-,-,-,3TE,-,107
438.7125,431.7125,VK4RBT,-,Wongawallan,Gold Coast,-27.882998,153.259931,O,50,354,3,4WIG,123,107
438.8125,431.8125,VK4RGX,-,Springbrook,Queensland,-28.231694,153.266325,O,-,-,-,4QF,-,107
438.8375,431.8375,VK4RBX,-,The Knobby,Ipswich,-27.502263,152.591633,O,40,600,5,4AB,-,107
147.3000,147.9000,VK4RCN,-,Manoora,Cairns CBD 9/16,-16.922,145.733,T,25,25,3,4AA,-,107
438.3250,432.9250,VK4RCN,-,Manoora,Cairns CBD,-16.922,145.733,O,25,25,3,4AA,-,107
439.9875,434.9875,VK4REG,-,Mt Mowbullan,Bunya Mtns,-26.888563,151.600764,O,40,1700,4,4QF,-,107
438.1250,433.1250,VK6RGF,-,Kalgoorlie,Kalgoorlie,-30.765833,121.472781,O,25,-,5,6LS,-,107
439.4875,434.4875,VK4RTQ,-,Mt Kynoch,Toowoomba,-27.506166,151.955865,O,50,500,3.5,3TE,-,107
439.9750,434.9750,VK4RMC,-,Mt Coot-tha,Brisbane,-27.463175,152.947118,O,50,-,5,4QF,-,107
438.8375,431.8375,VK5RSF,-,Adelaide,Adelaide,-34.90426,138.6925,O,-,-,-,3TE,-,107
438.2000,432.8000,VK6RRR,Lesmrd,Kalamunda,Lesmurdie,-31.968288,116.040789,O,-,-,-,6ZTN,-,107
438.5250,431.5250,VK6RLM,-,Roleystone,Perth South East,-32.101613,116.049202,O,-,-,-,WRG,-,107
439.8625,434.8625,VK6RDM,-,Perth,Perth,-31.76876,116.079888,O,-,-,-,6ML,-,107
438.4125,433.4125,VK7RAA,-,Mt Arthur,N Tasmania,-41.274031,147.283039,O,-,-,-,7JD,-,107
438.5250,433.5250,VK7RCR,-,Lenah Valley,Hobart,-42.86165,147.277901,O,-,-,-,7ZCR,-,107
,,,,,,,,,,,,,,{{*;C4FM;*}}
438.1125,432.7125,VK2RBV,-,Sydney,Sydney,-33.864292,151.211542,O,25,200,3,2BV,91.5,
146.6750,146.0750,VK2REE,-,Mt Ganghat,Taree-Gloucester,-31.922071,152.18174,O,50,600,5.0,2FRE,123,22
438.3250,433.3250,VK2REE,-,Mt Ganghat,Taree-Gloucester,-31.922071,152.18174,O,50,600,5.0,2FRE,-,106
438.6500,431.6500,VK2RFG,GHills,Gregory Hills,Campbelltown,-34.04252,150.784785,O,50,222,3,2FFG,-,
438.7250,433.7250,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,-34.263384,150.954594,O,50,465,4,2AMW,123,16
146.8000,146.2000,VK2RSC,Lismor,Parrots Nest,Lismore,-28.857063,153.228511,O,15,185,3,2SRC,123,
438.4500,433.4500,VK3RBW,-,Mt Gisborne,Melbourne West,-37.520178,144.58707,O,150,650,3,3FSK,91.5,103
438.1875,432.7875,VK3RCD,-,Kinglake,Melbourne,-37.515708,145.316285,O,-,600,-,3HF,-,103
144.9375,145.5375,VK3RDQ,WantE,Outer Eastern Suburbs,Melbourne,-37.881361,145.219101,O,80,68,3,3DQ,91.5,46
439.6000,434.6000,VK3RDX,-,Mt Waverley,Melbourne,-37.874466,145.138124,O,100,132,3,3HF,91.5,103
438.4000,433.4000,VK3RFY,Hillsd,Hillside,Melb EchoL/IRLP,-37.694622,144.728557,O,100,100,3,3HF,91.5,38
439.3250,434.3250,VK3RGH,GreenH,Green Hill,Macedon R & Melb 11/16,-37.186272,144.425745,P,100,600,3,3HF,91.5,103
438.5000,433.5000,VK3RGW,-,Grovedale,Geelong West,-38.172568,144.29696,O,100,148,3,3HF,91.5,103
147.2000,147.8000,VK3RPS,Cotrel,Mt Cottrell,Melbourne West,-37.763158,144.621872,O,150,217,3,3HF,91.5,103
145.0125,145.6125,VK3RPT,-,Pretty Sally,Kilmore,-37.38095,144.965576,O,100,515,3,3HF,91.5,103
147.3000,147.9000,VK4RCN,-,Manoora,Cairns CBD 9/16,-16.922,145.733,T,25,25,3,4AA,-,96
438.3250,432.9250,VK4RCN,-,Manoora,Cairns CBD,-16.922,145.733,O,25,25,3,4AA,-,96
438.2250,432.8250,VK4RPH,-,Mt Haren,Kuranda,-16.836529,145.61219,O,50,250,-,4BS,123,
146.8500,146.2500,VK4RSD,-,Malanda,Sth Atherton Tablelands,-17.36186,145.636904,O,50,730,3,4SDD,-,112
146.8250,146.2250,VK5RBV,-,Mt Kitchener,Barossa Valley,-34.571977,139.005935,O,50,580,3.5,5BRC,-,53
439.8000,434.8000,VK5RBV,-,Mt Kitchener,Barossa Valley,-34.571977,139.005935,O,50,580,3.5,5BRC,-,53
438.3250,433.3250,VK5RCT,-,Moonta,Moonta,-34.047307,137.65363,O,-,-,-,5ZSW,91.5,
438.1125,431.1125,VK5RDF,-,Crafers,Adelaide,-34.998452,138.698773,O,50,610,3,5DF,-,
439.8250,434.8250,VK5RSC,-,Mt Terrible,Adelaide South,-35.331101,138.501776,O,50,380,5,5ARC,91.5,
146.6750,146.0750,VK5RSV,-,Willunga Hill,Adelaide South,-35.27319,138.598021,O,50,320,10,5ARC,91.5,52
146.8000,146.2000,VK6RTH,PerNE,Tic Hill,Perth North East,-31.825768,116.063938,O,60,230,4,WRG,-,19
147.0000,146.4000,VK8RTE,-,Larrakeyah,Darwin City,-12.455984,130.833233,O,50,59,4,8DA,123,
,,,,,,,,,,,,,,{{*;ATV;VK2}}
426.250,444.250,VK2RGL,CbTree,Cabbage Tree Mtn,Forster-Tuncurry 6/15,-32.257395,152.120465,P,50,685,-,2GLR,-,90
444.250,1250.000,VK2RTG,-,Kariong,Gosford,-33.439521,151.297295,O,-,220,-,2EH,-,91
1250.000,444.250,VK2RTS,Lawsn2,Lawson,Blue Mtns,-33.710693,150.444899,O,300,370,30,2FKO,-,90,92
-,444.250,VK2RTV,-,St Leonards,Sydney 6/15,-33.821258,151.189719,X,400,65,-,2TVG,-,
-,2439.000,VK2RTV,-,St Leonards,Sydney 6/15,-33.821258,151.189719,X,400,65,-,2TVG,-,
1250.000,426.250,VK2RFM,-,Oakdale,Sydney,-34.079735,150.503528,O,600,450,3.0,2CRZ,-,92
1250.000,444.250,VK2RFM,-,Oakdale,Sydney,-34.079735,150.503528,O,600,450,3.0,2CRZ,-,92
,,,,,,,,,,,,,,{{*;ATV;VK3}}
446.500,1250.000,VK3RTV,-,Olinda,Melbourne,-37.853928,145.36636,O,50,600,-,3WI,-,86
446.500,1255.000,VK3RTV,-,Olinda,Melbourne,-37.853928,145.36636,O,50,600,-,3WI,-,86
446.500,1278.000,VK3RTV,-,Olinda,Melbourne,-37.853928,145.36636,O,50,600,-,3WI,-,86
446.500,10410.00,VK3RTV,-,Olinda,Melbourne,-37.853928,145.36636,O,50,600,-,3WI,-,86
2415.000,1250.000,VK3RBO,-,Specimen Hill,Bendigo,-36.76632,144.244345,O,100,335,-,3WI,-,91,97
,,,,,,,,,,,,,,{{*;ATV;VK4}}
444.250,1250.000,VK4RAT,-,Mt Stuart,Townsville,-19.343838,146.780685,O,20,584,-,4WIT,-,91
444.250,1250.000,VK4RKP,-,Mt Crosby,Ipswich,-27.527452,152.797919,O,100,-,-,4AKP,-,91
446.500,Various,VK4RKC,-,Ocean View,Brisbane North,-27.145551,152.820209,O,120,530,-,4KI,-,89
446.500,1283.000,VK4RMG,-,Ocean View,Brisbane North,-27.145551,152.820209,O,120,530,-,4RMG,-,109
446.500,Various,VK4RNC,-,Wilkes Knob,Sunshine Coast,-26.77727,152.910371,O,120,450,-,4KI,-,110
446.500,Various,VK4RTV,-,Ocean View,Brisbane North,-27.145551,152.820209,O,120,530,-,4KI,-,111
,,,,,,,,,,,,,,{{*;ATV;VK5}}
446.500,1275.000,VK5RDC,-,The Bluff,Port Pirie & Whyalla,-33.105937,138.164544,O,100,730,-,5DMC,-,105
2415.000,1250.000,VK5RLZ,-,Elizabeth,Adelaide North 6/15,-34.742448,138.649074,X,250,73,30,5LZ,-,93
5815.000,5735.000,VK5RLZ,-,Elizabeth,Adelaide North 6/15,-34.742448,138.649074,X,1,80,30,5LZ,-,93,99
10350.00,10210.00,VK5RLZ,-,Elizabeth,Adelaide North 6/15,-34.742448,138.649074,X,25,80,30,5LZ,-,93
,,,,,,,,,,,,,,{{*;ATV;VK7}}
446.500,1250.000,VK7RTV,-,Gawler,Central NW Coast 6/15,-41.200655,146.154779,P,10,155,30,TNA,-,90
,,,,,,,,,,,,,,{{;;}}
